ZoneID,population
0,21715.671759696957
1,17498.999999913583
2,10260.499356245033
3,25196.99999976728
4,19448.359750086354
5,22989.099508310686
6,22408.415541157807
7,22590.866235642898
8,29763.800636439584
9,26761.474806149326
10,9399.276916563633
11,26748.46721516242
12,33181.98130722643
13,36084.48387335586
14,34417.36893523233
15,3639.000000410266
16,3082.087114488419
17,7355.089016568672
18,8292.58775459029
19,8100.000000077728
20,7328.144550008242
21,15011.99999993727
22,17833.679598193765
23,17978.045904147133
24,11144.480454872551
25,12824.00000028163
26,12824.000001710565
27,15278.13327034552
28,13311.780817242152
29,9407.080511219727
30,13187.896605853832
31,13527.814590917964
32,15806.188144863108
33,16803.32268811632
34,12461.706762221904
35,14157.691682052708
36,12507.961788861996
37,12813.253264581119
38,16497.999999640975
39,25700.312462258826
40,32178.40059278376
41,16520.751638334183
42,2092.999999987538
43,1041.9999999955369
44,2023.8743257666024
45,2092.9999999320494
46,7423.177546657552
47,5465.5008090199935
48,7121.999998906591
49,11704.311264869639
50,16726.54593706403
51,16205.035650602407
52,13982.986871898458
53,28657.99999564293
54,14690.182497742702
55,47826.55007674409
56,25376.27383024698
57,19252.013052373208
58,15584.999999996538
59,6342.333166672702
60,5301.947736424832
61,13689.9999996681
62,7540.878179640383
63,7054.000000042312
64,7053.999999678514
65,14715.3466241215
66,14996.793965758556
67,14277.203468146772
68,24965.30702324982
69,12699.999999868884
70,20295.999999872885
71,20358.479878623864
72,7040.000000133214
73,5127.277324499046
74,8403.000000146156
75,8384.460326608318
76,9101.870771341884
77,9342.999999984899
78,9119.608233117631
79,7717.814011062463
80,8333.000000045966
81,3212.8243052578664
82,3089.750048549172
83,11613.39189325628
84,6551.102821871722
85,5686.259766773493
86,3997.4157592944207
87,1307.528216797719
88,7878.999999496845
89,10236.000000009371
90,4935.999999893782
91,7758.202829973706
92,10379.6506603826
93,7295.15775800196
94,6387.345675653781
95,6985.34808532902
96,7334.147594233284
97,6744.000000114794
98,36583.13517576683
99,40203.54902336561
100,42143.99999999999
102,38464.00000000001
103,57881.00000000001
104,54799.43767961807
105,54176.00000250703
106,42144.0
107,5925.0
108,36134.44614720703
109,57532.591048128525
110,48233.03765525698
111,25219.00000119272
112,10912.999998913965
113,11040.999999553538
114,9105.632567418135
115,7192.681884149009
116,6349.312394870915
117,6843.576666957701
118,5854.000000092546
119,5852.497326270252
120,9558.999465305986
121,10713.000000020982
122,6128.589126613038
123,3006.7870518774967
124,4797.085249100865
125,5370.112503195564
126,8002.581278305163
127,5470.99589104794
128,7525.0000000244045
129,7516.951389618842
130,8843.1892999133
131,6155.35864028646
132,5704.1838755928875
133,4932.979859363335
134,5705.425863225005
135,4182.399069668633
136,44562.19641608337
137,19662.731897435155
138,34230.40507483093
139,38121.00000096936
140,31439.00000031848
141,32901.13658107114
142,17708.22016663444
143,13489.99999995707
144,13489.999999929176
145,17783.870789833483
146,10877.00000005512
147,7736.530741502134
148,10896.159714989391
149,10721.030559763276
150,10377.893639776496
151,5376.858304717804
152,6121.000000079907
153,8905.654806602497
154,6510.057085609284
155,7238.734490370557
156,6549.999999954611
157,13603.286632581565
158,11085.008057177516
159,5012.673801153256
160,8055.567900268307
161,8652.55405774252
162,8821.602699989102
163,7476.861829328863
164,5407.408183618003
165,4442.700433208008
166,19588.00000010092
167,28237.03625376474
168,12182.30639312807
169,10630.53566956961
170,9958.730501625672
171,20117.24662940269
172,15649.540352957936
173,18855.47847857666
174,29688.000000087573
175,28341.532576365324
176,18633.99999989951
177,25444.206666459195
178,19385.67934718029
179,16193.046907955488
180,17939.531772548642
181,12492.783863254263
182,14910.755178109002
183,3289.9999999807847
184,19515.884333848273
185,17835.274460280827
186,20109.000000257394
187,14159.483064498894
188,11166.8689577104
189,16225.206517769757
190,19687.07640912972
191,20109.00000006224
192,20108.99999945914
193,20109.020497750967
194,15585.916300230265
195,14366.882123701813
196,15895.99999998856
197,15895.999999542946
198,5079.000000000001
199,5079.000001211697
200,21847.56185625433
201,29916.00000048848
202,27555.64884482668
203,29915.9999999292
204,18628.67906646655
205,25623.000000770084
206,25622.999996914503
207,40989.41363273023
208,52531.00000103778
209,43100.08120683651
210,30489.000002016717
211,8812.000000094362
212,6341.112480612404
213,14158.382233526972
214,17188.246109837037
215,13896.327917641538
216,18621.48995979711
217,19733.046523755795
218,21879.80608167232
219,22810.845798669463
220,18353.153916451185
221,18425.30669467042
222,12097.671073659389
223,2743.9529088942304
224,8052.571007399787
225,15010.22545942635
226,18387.07289948193
227,12904.977659399805
228,16081.999999721707
229,12417.682437454052
230,10630.31840144728
231,10925.000000202568
232,23423.49408201781
233,10801.07442595996
234,20073.89563493954
235,32410.999999524105
236,32165.38342137982
237,12645.583961826169
238,17240.976766647498
239,18903.114490781423
240,34000.926425897385
241,9830.786852032285
242,10100.00760862856
243,12271.99999996738
244,33705.000000346845
245,19333.651475197963
246,20233.987625930175
247,18209.86996186506
248,17038.000000116226
249,15944.521106186325
250,29387.54423728119
251,18740.33865922426
252,28905.372757845624
253,28614.999999843647
254,23112.30355301857
255,20754.000000061165
256,14528.196558766647
257,14579.808615775337
258,12125.000000696373
259,21693.596660426945
260,21433.033376825595
261,12143.390045788865
262,12124.999999989655
263,24292.999996995404
264,21976.660333837666
265,25195.34902170393
266,25196.999998593703
267,22969.057750196793
268,24221.26463070952
269,17645.000001363347
270,25197.000002954257
271,15150.000002769795
272,12124.999999972699
273,18269.000001145327
274,10401.99999938086
275,26101.000000967728
276,26131.197962284066
277,26106.11049697176
278,12518.00000596183
279,26109.17095642622
280,26101.000003396468
281,17263.97415733778
282,17741.027304971787
283,17499.000000399046
284,17498.99999498481
285,14527.747855771999
286,11848.855588584205
287,10561.041562876
288,10122.136967915396
289,32290.25033504945
290,17261.327514413417
291,17863.999999778738
292,14203.000000051006
293,20436.00000015
294,11321.000000291524
295,12297.870254615367
296,11990.062256924435
297,11886.13325032809
298,12596.3687756148
299,13524.94871349136
300,15038.5353109792
301,11542.843503415384
304,8300.237394806321
305,8457.38480421628
306,8382.0
307,11501.999999963939
308,11021.305244716448
309,11501.999999892803
312,15128.031249807244
313,22855.62541392055
314,9636.063451582157
315,30143.819868980976
316,25219.99999966116
317,3701.473941554632
318,12082.999999810752
